PIVlab, ASCII chart output - 19-Jun-2022
FRAME: 1, filenames: A: 0.png & B: 1.png, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
17,17,0.01514236108,-0.1032544768,1
17,33,0.05373756067,-0.2928296721,1
17,49,0.02310554162,-0.7555562651,1
17,65,0.008428493892,-0.7040864623,1
17,81,-0.02252014503,-0.4454976714,1
17,97,-0.09717567787,-0.3909475005,1
17,113,-0.09250839577,-0.07493034963,1
17,129,-0.0594044529,-0.06440178518,1
17,145,-0.08390243873,0.05825026864,1
17,161,-0.09079178199,0.1941049897,1
17,177,-0.01737984045,0.117803415,1
17,193,-0.03977592808,0.1714876496,1
17,209,-0.08221443514,0.2961634003,1
17,225,-0.00555237153,0.2019003235,1
17,241,0.009809414372,0.1796320282,1
17,257,-0.06198128081,0.06611617433,1
17,273,-0.1123352847,-0.08124558105,1
17,289,-0.0269661746,-0.2151490845,1
17,305,0.0669802823,-0.147979895,1
17,321,0.06293098114,-0.4926110901,1
17,337,-0.03727539399,-0.359365622,1
17,353,-0.1200238071,-0.6413175263,1
17,369,-0.03452499729,-0.2863618531,1
17,385,-0.09024246557,-0.04135338444,1
17,401,-0.1416855656,0.01624854427,1
33,17,0.04890624658,0.0004938447275,1
33,33,0.02714149133,-0.08971420886,1
33,49,0.02904311792,-0.5347444213,1
33,65,0.03500358239,-0.3894254363,1
33,81,0.0006865657841,-0.3563234008,1
33,97,-0.02654465065,-0.1344491637,1
33,113,-0.09166344033,-0.04984108571,1
33,129,-0.282859882,-0.03735367422,1
33,145,-0.2189141117,0.04887374277,1
33,161,-0.1544152103,0.2040556275,1
33,177,-0.13775452,0.2140787446,1
33,193,-0.1583863102,0.1676805817,1
33,209,-0.09842499118,0.1379984223,1
33,225,0.04171554228,0.06759436955,1
33,241,0.0685729184,0.01177390445,1
33,257,0.04713050508,-0.0415383972,1
33,273,-0.0009480319038,-0.05633751525,1
33,289,0.02211181307,-0.1821118988,1
33,305,0.09419433259,-0.3177663483,1
33,321,0.0617331662,-0.3545934357,1
33,337,-0.08642586091,-0.2281915344,1
33,353,-0.02813728671,-0.1905957856,1
33,369,-0.008873065533,-0.5000096955,1
33,385,-0.1031857334,0.006042321736,1
33,401,-0.1607037388,0.04303153377,1
49,17,0.2297991909,0.01738150952,1
49,33,0.1544112362,-0.1101934111,1
49,49,0.1279315151,-0.2485105193,1
49,65,0.005323330318,-0.1711351073,1
49,81,-0.03468139991,-0.1397973693,1
49,97,-0.04924782143,-0.07271782521,1
49,113,-0.2113724552,-0.001485983172,1
49,129,-0.2649651371,-0.03456322317,1
49,145,-0.2466927372,-0.002493063265,1
49,161,-0.1786652409,0.1661547028,1
49,177,-0.1279545627,0.08033927314,1
49,193,-0.04502685887,0.07115538946,1
49,209,0.006982723667,0.08222373357,1
49,225,0.06321517608,0.05179007877,1
49,241,0.1094340482,0.003160318021,1
49,257,0.1406821408,-0.01439110411,1
49,273,0.2083071866,0.016624292,1
49,289,0.255277554,0.04310401306,1
49,305,0.2238482633,-0.1177999176,1
49,321,0.1343897977,-0.09263817446,1
49,337,-0.06840141633,-0.008997122219,1
49,353,-0.1072960697,-0.01473633426,1
49,369,-0.214506229,-0.09961334843,1
49,385,-0.1938172184,0.05344374996,1
49,401,-0.1490765415,0.08615477901,1
65,17,0.07970611231,-0.02573410632,1
65,33,0.07692519801,-0.1777192748,1
65,49,0.09510223048,-0.01902596118,1
65,65,-0.002443393307,-0.01964775684,1
65,81,-0.03004272803,-0.07053581837,1
65,97,-0.1210804783,-0.03082100514,1
65,113,-0.3153286777,0.03508361216,1
65,129,-0.3989582859,0.007800897311,1
65,145,-0.2199021183,-0.005905309974,1
65,161,-0.1659050785,0.03781302803,1
65,177,-0.1385327183,0.01451476447,1
65,193,-0.06157310825,-0.01341263423,1
65,209,0.02697555204,-0.007736364705,1
